Item Name,Price
Melted Cheese and Crispy Chicken Pasta,EGP62.00
French Fries,EGP20.00
Melted Cheese with Sausage Pasta,EGP62.00
Crispy Chicken with Melted Cheese Pan,EGP57.00
Sausage with French Fries and Cheddar Cheese Pan,EGP52.00
Crispy Chicken with Pastrami and Olives Pasta,EGP65.00
French Fries with Bolognaise Sauce and Mozzarella Cheese,EGP39.00
Sugar and Milk Pie,EGP40.00
Desoky Salad,EGP30.00
Chicken Caesar Salad,EGP55.00
Crispy Chicken with Sweet Corn and BBQ Salad,EGP55.00
Greek Salad,EGP35.00
Sausage with Pomegranate Molasses Pan,EGP55.00
Alexandrian Sausage Pan,EGP42.00
Alexandrian Liver Pan,EGP42.00
"Popular
                        
                    
                                        
                    Sausage with French Fries and Cheddar Cheese Pan",EGP52.00
Veal Cubes with Onion and Mozzarella Cheese Pan,EGP62.00
"Popular
                        
                    
                                        
                    Crispy Chicken with Melted Cheese Pan",EGP57.00
Mesakaa with Yogurt Fattah,EGP55.00
Chicken Liver with Onion Pan,EGP45.00
Chicken Liver with Pomegranate Molasses Pan,EGP53.00
Sausage with Melted Cheese Pan,EGP55.00
Dawood Bacha  Kofta with labaneya Sauce Pan,EGP60.00
Dawood Bacha Kofta with Pomegranate Molasses Pan,EGP60.00
Beef Liver with Pomegranate Molasses Pan,EGP49.00
Beef Slices with Caramelized Onion and Mushroom Pan,EGP59.00
Alexandrian Liver Sandwich,EGP28.00
Alexandrian Sausage Sandwich,EGP31.00
Grilled Chicken with Tomatoes Sandwich,EGP35.00
Crispy Chicken with Garlic Dip Sandwich,EGP37.00
Grilled Chicken with Mushroom Sandwich,EGP39.00
Chicken Rome Sandwich,EGP42.00
Grilled Sausage with Sesame Paste Sandwich,EGP34.00
Grilled Beef Liver Sandwich,EGP36.00
Grilled Steak with Mushroom and Caramelized Onion Sandwich,EGP39.00
Crunchy Chicken with Smoked Turkey and Cheddar Cheese Sandwich,EGP42.00
Arrabiata Pasta,EGP40.00
Grilled Chicken Pasta,EGP55.00
Spaghetti Pasta with Dawood Basha Kofta,EGP55.00
Sausage Pasta,EGP50.00
Liver Pasta,EGP50.00
Mesakaa with Minced Meat Pasta,EGP60.00
Crispy Bolognaise Pasta,EGP65.00
Chicken Pasta with Caramelized Onion and Thyme,EGP58.00
Meat Slices Pasta with Caramelized Onion and Mushroom,EGP62.00
"Popular
                        
                    
                                        
                    Melted Cheese with Sausage Pasta",EGP62.00
"Popular
                        
                    
                                        
                    Melted Cheese and Crispy Chicken Pasta",EGP62.00
"Popular
                        
                    
                                        
                    Crispy Chicken with Pastrami and Olives Pasta",EGP65.00
Desoky Pasta with Sausage,EGP60.00
Desoky Pasta with Veal Cubes,EGP65.00
Negresco Pasta,EGP58.00
Desoky Pasta with Melt Cheese,EGP45.00
Vermicelli with Dawood Basha Kofta Platter,EGP58.00
"Vermicelli with Meat, Caramelized Onion and Mushroom Platter",EGP60.00
Vermicelli with Crispy Chicken Platter,EGP58.00
Feteer Meshaltet,"EGP95.00
                            
                                                                                        EGP71.25"
Crispy Chicken with BBQ Sauce Pie,"EGP80.00
                            
                                                                                        EGP60.00"
Kiri Cheese and Pastrami Pie,"EGP80.00
                            
                                                                                        EGP60.00"
Mix Cheese Pie,"EGP75.00
                            
                                                                                        EGP56.25"
Mix Cheese and Mushroom Pie,"EGP75.00
                            
                                                                                        EGP56.25"
Chicken Shawerma with Garlic Dip Pie,"EGP85.00
                            
                                                                                        EGP63.75"
Mix Meat Pie,"EGP85.00
                            
                                                                                        EGP63.75"
Sausage Pie,"EGP75.00
                            
                                                                                        EGP56.25"
Beef Steak with Carmelized Onion Pie,"EGP90.00
                            
                                                                                        EGP67.50"
"Popular
                        
                    
                                        
                    French Fries",EGP20.00
Mozzarella Cheese Sticks,EGP40.00
Fried Chicken Strips,EGP42.00
Buffalo Chicken Wings,EGP42.00
"Popular
                        
                    
                                        
                    French Fries with Bolognaise Sauce and Mozzarella Cheese",EGP39.00
French Fries with Caramelized Onion and Cheese,EGP36.00
Cheese Sambousek,EGP26.00
Meat Sambousek,EGP26.00
Mombar,EGP36.00
Pickled Eggplant,EGP14.00
Potatoes with Garlic,EGP14.00
Pickled Cherry Tomatoes,EGP14.00
Custard Pie,EGP40.00
"Popular
                        
                    
                                        
                    Sugar and Milk Pie",EGP40.00
Nutella Chocolate Pie,EGP80.00
Golash  Pie with Custard,EGP45.00
Golsh with Nutella Chocolate,EGP50.00
Coca-Cola,EGP14.00
Fanta Apple,EGP14.00
Sprite,EGP14.00
Fanta Orange,EGP14.00
Birell,EGP17.00
Energy Drink,EGP27.00
Mineral Water,EGP9.00
